Submission Time,Full name,Marital status,Gender,Religion,Date of birth,Current address,Highest formal of education,Faculty/Major,School/University name,Email address,WhatsApp number,Desired positions,Current status,Experience,Applied date,Portfolio (2MB),Upload CV (2MB),Portfolio link,Expected salary (IDR),Where did you find this job?,Consent,Skills
"Mar 20, 2025 @ 04:51 PM",Damu Widodo,Single,Male,Hindu,01/06/2002,"Gg. Suniaraja No. 446, Sorong, RI 26342",S2,Sistem Komputer,Universitas Terbuka,nyomanlestari@pt.desa.id,193636965430,UI/UX Designer,Fulltime,More than 5 years,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5614923,Indeed,checked,"['Node.js', 'Kubernetes', 'HTML', 'CSS']"
"Mar 17, 2025 @ 03:40 AM","Tira Mustofa, M.Farm",Single,Male,Christian,01/19/1993,"Jalan Veteran No. 498, Ternate, JB 49069",SMA/SMK,Manajemen Informatika,Universitas Gunadarma,nsudiati@gmail.com,101275411107,UI/UX Designer,Intern,Fresh graduate,06/07/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5099937,Glints,checked,"['Node.js', 'Networking', 'Linux', 'Azure', 'SQL', 'HTML']"
"Feb 15, 2025 @ 04:26 PM",Suci Gunarto,Married,Male,Moslem,01/22/2002,"Jl. Kapten Muslihat No. 4, Bandar Lampung, SR 81323",SMA/SMK,Informatics,Universitas Bina Nusantara,lasmono51@hotmail.com,078313635856,DevOps Engineer,Intern,1-3 years,06/02/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9000305,Glints,checked,"['Figma', 'GCP', 'AWS', 'JavaScript']"
"Feb 17, 2025 @ 02:20 AM",Ratih Kusumo,Married,Male,Buddhist,12/18/1996,"Gang Pacuan Kuda No. 404, Yogyakarta, LA 08838",S2,Sistem Informasi,Universitas Gunadarma,mahendraolga@cv.net.id,768487356560,Backend Developer,Unemployed,3-5 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.pt.int/,8869493,LinkedIn,checked,"['HTML', 'SQL', 'Kubernetes']"
"May 26, 2025 @ 06:13 AM",Gamani Prasetyo,Single,Male,Christian,02/17/2000,"Gg. Laswi No. 1, Mojokerto, Sumatera Utara 70627",S1/D4,Teknik Informatika,Universitas Gunadarma,rahayu75@yahoo.com,839923200856,DevOps Engineer,Unemployed,3-5 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4583110,Website,checked,"['HTML', 'Figma', 'AWS', 'Linux', 'Docker', 'Python']"
"May 19, 2025 @ 03:57 PM",Drs. Paiman Rajasa,Single,Male,Moslem,08/10/1989,"Jl. Rajawali Barat No. 6, Prabumulih, Jawa Barat 30313",D3,Sistem Informasi,Universitas Indonesia,akarsanahakim@gmail.com,718833810393,DevOps Engineer,Freelancer,1-3 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5222479,Instagram,checked,"['Linux', 'AWS', 'HTML', 'Python']"
"Mar 07, 2025 @ 09:52 AM",Ir. Gangsar Nababan,Single,Male,Buddhist,07/22/1989,"Gang Stasiun Wonokromo No. 09, Balikpapan, SN 32526",S2,Sistem Komputer,Universitas Gadjah Mada,janepuspasari@yahoo.com,200769724662,Frontend Developer,Unemployed,3-5 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8373251,Website,checked,"['Kubernetes', 'HTML', 'Linux', 'Figma']"
"Apr 24, 2025 @ 01:40 PM",Eluh Gunarto,Single,Female,Christian,08/10/1992,"Gang Erlangga No. 227, Palangkaraya, PA 47846",D3,Manajemen Informatika,Universitas Terbuka,safinapurwanti@gmail.com,537446818994,IT Support,Intern,Fresh graduate,05/23/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9652976,Telegram Group,checked,"['React', 'Python', 'AWS', 'GCP']"
"Apr 11, 2025 @ 07:23 AM",R. Mala Damanik,Married,Male,Hindu,06/13/1995,"Gg. Cikapayang No. 378, Banjar, JI 92642",SMA/SMK,Manajemen Informatika,Universitas Gadjah Mada,ssihotang@pt.gov,776819640559,Frontend Developer,Unemployed,3-5 years,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8663277,Website,checked,"['CSS', 'Node.js', 'Python', 'React']"
"Mar 12, 2025 @ 08:46 PM",Karya Wibowo,Married,Female,Moslem,12/18/1990,"Jalan Moch. Ramdan No. 6, Sibolga, KS 77481",S1/D4,Teknik Komputer,Universitas Terbuka,jamal78@yahoo.com,171106910356,DevOps Engineer,Freelancer,1-3 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6323417,Glints,checked,"['Node.js', 'GCP', 'JavaScript', 'SQL', 'AWS']"
"Apr 01, 2025 @ 01:51 PM",Radit Gunarto,Married,Male,Christian,02/22/1993,"Jalan Stasiun Wonokromo No. 0, Batam, PA 58247",S2,Sistem Informasi,Universitas Gunadarma,laksmiwatikasiran@ud.gov,809810898743,Backend Developer,Intern,1-3 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7056443,Instagram,checked,"['Networking', 'HTML', 'Node.js', 'React', 'GCP', 'Docker']"
"Apr 12, 2025 @ 09:52 AM",Juli Rahmawati,Single,Female,Hindu,07/28/2000,"Gg. M.T Haryono No. 667, Padang Sidempuan, SU 40223",D3,Teknik Informatika,Universitas Indonesia,manullangifa@yahoo.com,496018003102,UI/UX Designer,Fulltime,Fresh graduate,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9563475,Glints,checked,"['Figma', 'React', 'JavaScript', 'Node.js', 'Kubernetes']"
"Jun 06, 2025 @ 05:59 PM","Salwa Susanti, M.TI.",Married,Female,Moslem,11/11/2002,"Gg. Cempaka No. 91, Bima, BE 96644",SMA/SMK,Sistem Informasi,Universitas Gunadarma,jumadiuwais@pd.ponpes.id,804055401728,Frontend Developer,Freelancer,1-3 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7113059,Glints,checked,"['Figma', 'SQL', 'Azure', 'CSS']"
"Apr 08, 2025 @ 01:47 AM",Lintang Puspita,Single,Female,Buddhist,02/06/1997,"Gg. PHH. Mustofa No. 2, Gorontalo, Sumatera Barat 34022",S1/D4,Teknik Informatika,Universitas Terbuka,najmudinharto@hotmail.com,423891947071,Data Analyst,Fulltime,3-5 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9831617,LinkedIn,checked,"['Kubernetes', 'CSS', 'GCP']"
"Jan 14, 2025 @ 09:13 AM",Lintang Nasyiah,Single,Male,Christian,07/16/1994,"Gang Astana Anyar No. 3, Denpasar, SG 39126",S1/D4,Manajemen Informatika,Institut Teknologi Bandung,praba61@hotmail.com,433523331197,Data Analyst,Freelancer,More than 5 years,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4668330,Telegram Group,checked,"['Kubernetes', 'SQL', 'JavaScript', 'Linux', 'Figma']"
"Jan 29, 2025 @ 05:06 AM","H. Harjo Novitasari, M.TI.",Married,Male,Moslem,02/13/1992,"Gg. Kebonjati No. 662, Pangkalpinang, Sumatera Utara 92558",S1/D4,Teknik Komputer,Universitas Gadjah Mada,vprastuti@yahoo.com,158156934723,DevOps Engineer,Intern,More than 5 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8306049,Indeed,checked,"['Linux', 'AWS', 'GCP']"
"Jun 10, 2025 @ 05:25 PM","Ir. Diana Widiastuti, M.Kom.",Single,Female,Hindu,04/04/1995,"Gang Antapani Lama No. 8, Bima, Bali 77555",S1/D4,Teknik Informatika,Universitas Gadjah Mada,sihombingnilam@gmail.com,951524434532,Data Analyst,Fulltime,1-3 years,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://cv.net.id/,4657182,Glints,checked,"['SQL', 'Linux', 'Docker']"
"Mar 22, 2025 @ 02:45 AM",Zamira Handayani,Single,Female,Hindu,05/11/1990,"Gg. Ciumbuleuit No. 6, Pagaralam, KU 62515",S2,Sistem Informasi,Universitas Gadjah Mada,firmansyahgangsar@gmail.com,826968951259,UI/UX Designer,Unemployed,3-5 years,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4544214,Instagram,checked,"['Docker', 'Azure', 'SQL', 'Networking', 'HTML']"
"Apr 20, 2025 @ 05:28 AM",Salsabila Prayoga,Single,Male,Buddhist,11/02/1997,"Gang Antapani Lama No. 62, Subulussalam, NT 02193",D3,Manajemen Informatika,Universitas Gunadarma,irianasitorus@pd.gov,250711072934,UI/UX Designer,Freelancer,More than 5 years,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8119059,LinkedIn,checked,"['Node.js', 'AWS', 'Azure', 'Linux', 'Figma']"
"Apr 22, 2025 @ 03:45 PM",Titi Nasyidah,Married,Female,Catholic,09/12/2003,"Jl. Waringin No. 13, Singkawang, JA 62053",S1/D4,Sistem Informasi,Universitas Bina Nusantara,puspitazelda@perum.go.id,326645360759,DevOps Engineer,Fulltime,3-5 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6708726,Glints,checked,"['Python', 'Figma', 'Node.js', 'GCP', 'Linux', 'Networking']"
"May 28, 2025 @ 11:28 AM",Zaenab Waskita,Married,Female,Christian,03/16/2001,"Jl. Sukajadi No. 77, Pontianak, Riau 77200",SMA/SMK,Teknik Komputer,Universitas Indonesia,msusanti@pd.org,613645011424,UI/UX Designer,Freelancer,3-5 years,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8189548,Instagram,checked,"['Docker', 'Python', 'Azure', 'Networking', 'HTML', 'Node.js']"
"May 27, 2025 @ 01:58 PM",Dr. Caturangga Prasetyo,Married,Male,Moslem,10/28/2003,"Gang Sentot Alibasa No. 969, Kotamobagu, KU 11727",S2,Manajemen Informatika,Universitas Indonesia,karenmayasari@pd.com,521861196143,Backend Developer,Fulltime,Fresh graduate,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4072860,Glints,checked,"['Linux', 'CSS', 'SQL', 'Networking', 'Azure']"
"May 05, 2025 @ 12:11 PM",Vino Uyainah,Single,Male,Moslem,04/28/1994,"Jalan Kiaracondong No. 6, Sukabumi, Nusa Tenggara Barat 38481",SMA/SMK,Teknik Komputer,Universitas Bina Nusantara,fusada@hotmail.com,087261799828,UI/UX Designer,Unemployed,More than 5 years,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4548744,Indeed,checked,"['Node.js', 'AWS', 'Docker']"
"Jan 17, 2025 @ 07:47 AM",Prabawa Purwanti,Married,Female,Catholic,03/12/2000,"Gg. Cihampelas No. 61, Banjarmasin, Sulawesi Barat 88751",S2,Manajemen Informatika,Universitas Terbuka,pwibowo@yahoo.com,623472338706,Data Analyst,Freelancer,1-3 years,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6920991,Website,checked,"['Networking', 'React', 'Python', 'Docker', 'Kubernetes']"
"Jan 28, 2025 @ 10:05 PM","Tgk. Darman Farida, M.Ak",Single,Male,Moslem,12/07/1999,"Gang Joyoboyo No. 0, Palopo, MU 95373",S2,Sistem Informasi,Institut Teknologi Bandung,nugrohomursita@yahoo.com,652613044861,Frontend Developer,Freelancer,1-3 years,05/25/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4357934,LinkedIn,checked,"['Linux', 'JavaScript', 'Docker', 'HTML']"
"Apr 30, 2025 @ 03:25 AM",Gandewa Prabowo,Married,Male,Catholic,01/14/1992,"Jalan Ciwastra No. 33, Batu, Kalimantan Barat 90337",S2,Manajemen Informatika,Universitas Terbuka,emong58@ud.web.id,187904286868,IT Support,Fulltime,1-3 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5229316,Telegram Group,checked,"['JavaScript', 'Networking', 'CSS', 'Azure']"
"Mar 31, 2025 @ 12:56 AM","T. Hardi Hutagalung, S.Sos",Married,Female,Hindu,03/20/1997,"Jalan Jend. A. Yani No. 4, Mojokerto, YO 59067",S1/D4,Teknik Komputer,Institut Teknologi Bandung,haryantoikin@gmail.com,109846656792,UI/UX Designer,Intern,3-5 years,05/15/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5863660,Glints,checked,"['GCP', 'Kubernetes', 'React', 'Node.js', 'SQL', 'Azure']"
"Apr 18, 2025 @ 11:38 PM","R. Zulfa Gunarto, S.Kom",Married,Male,Hindu,07/09/1997,"Jl. Jend. Sudirman No. 55, Probolinggo, KR 37672",D3,Sistem Informasi,Universitas Gunadarma,unggul44@pt.ac.id,812464942522,UI/UX Designer,Intern,Fresh graduate,06/01/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4504044,Indeed,checked,"['Figma', 'Python', 'HTML', 'CSS']"
"Feb 15, 2025 @ 10:15 PM","Ir. Ratih Hassanah, S.E.I",Married,Female,Hindu,10/18/1993,"Jalan Cikutra Timur No. 28, Malang, PB 69005",SMA/SMK,Teknik Informatika,Universitas Indonesia,mayasaribakijan@yahoo.com,929723325800,Backend Developer,Intern,3-5 years,05/13/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.cv.mil/,9056046,Website,checked,"['HTML', 'Python', 'Node.js', 'Figma']"
"Jun 04, 2025 @ 07:10 AM",Uchita Susanti,Married,Female,Moslem,11/27/1991,"Gang Waringin No. 006, Sungai Penuh, JA 59744",D3,Informatics,Universitas Gadjah Mada,fsiregar@hotmail.com,184594415226,DevOps Engineer,Unemployed,Fresh graduate,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4533975,Glints,checked,"['JavaScript', 'Kubernetes', 'Docker', 'Azure', 'CSS']"
"Mar 02, 2025 @ 05:54 AM",R. Tami Prasetya,Married,Female,Catholic,05/14/1991,"Jl. Kendalsari No. 12, Dumai, Jawa Barat 75499",S1/D4,Teknik Informatika,Universitas Terbuka,amongsitumorang@cv.com,904895906454,Data Analyst,Intern,1-3 years,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6814818,LinkedIn,checked,"['Networking', 'CSS', 'Docker']"
"Jan 21, 2025 @ 06:18 AM","Tgk. Olivia Ramadan, M.M.",Married,Male,Moslem,06/16/1998,"Jalan Sadang Serang No. 2, Purwokerto, SU 67232",SMA/SMK,Sistem Informasi,Universitas Terbuka,maryaticalista@yahoo.com,396464535883,UI/UX Designer,Fulltime,1-3 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.perum.or.id/,7706784,Website,checked,"['React', 'JavaScript', 'Python', 'Docker', 'Azure', 'SQL']"
"May 31, 2025 @ 06:15 PM",Sadina Mahendra,Married,Male,Moslem,03/12/2003,"Jl. Kendalsari No. 70, Langsa, BE 51518",D3,Sistem Komputer,Universitas Terbuka,halimahilyas@perum.id,050140198027,Data Analyst,Fulltime,1-3 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8313230,Website,checked,"['Kubernetes', 'React', 'Figma', 'SQL']"
"Apr 26, 2025 @ 05:53 AM",Karya Rajasa,Single,Female,Catholic,09/09/1993,"Jl. Sukajadi No. 495, Pontianak, JB 34844",S2,Teknik Informatika,Universitas Gadjah Mada,vlaksita@ud.or.id,838850108841,Data Analyst,Intern,1-3 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4093771,Glints,checked,"['CSS', 'Node.js', 'Figma', 'Python', 'HTML']"
"May 18, 2025 @ 12:53 PM",Cinta Laksita,Married,Male,Hindu,04/28/1998,"Jalan Monginsidi No. 44, Bandar Lampung, Sulawesi Barat 08863",S2,Teknik Komputer,Universitas Gadjah Mada,waskitataswir@hotmail.com,797404919937,DevOps Engineer,Unemployed,3-5 years,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.pd.mil/,4436089,Indeed,checked,"['JavaScript', 'Figma', 'SQL', 'Node.js']"
"Jun 08, 2025 @ 02:16 PM",Luluh Agustina,Single,Male,Hindu,03/21/1990,"Jalan M.H Thamrin No. 2, Meulaboh, AC 78721",S1/D4,Teknik Komputer,Universitas Indonesia,kayun83@hotmail.com,501498007771,IT Support,Freelancer,Fresh graduate,05/30/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4896774,Telegram Group,checked,"['Azure', 'HTML', 'React', 'Docker', 'Python']"
"Mar 11, 2025 @ 06:46 PM",Among Hassanah,Single,Male,Buddhist,02/01/1993,"Jl. Pelajar Pejuang No. 764, Depok, KI 28718",S2,Informatics,Universitas Gadjah Mada,kamila74@pd.edu,707392504486,UI/UX Designer,Unemployed,Fresh graduate,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8069315,LinkedIn,checked,"['Docker', 'JavaScript', 'SQL', 'Figma', 'React', 'Networking']"
"Feb 22, 2025 @ 03:29 AM",Gilda Damanik,Single,Female,Catholic,03/16/2002,"Gang Cikutra Timur No. 01, Kota Administrasi Jakarta Selatan, JK 62702",S1/D4,Teknik Informatika,Institut Teknologi Bandung,mpertiwi@ud.my.id,956806678909,Data Analyst,Intern,1-3 years,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4189623,Website,checked,"['Networking', 'Figma', 'Node.js', 'HTML', 'GCP', 'JavaScript']"
"Jan 31, 2025 @ 04:02 AM",drg. Hadi Prabowo,Single,Female,Buddhist,09/26/1989,"Jl. PHH. Mustofa No. 449, Metro, Jawa Timur 66904",S2,Sistem Komputer,Universitas Gunadarma,simbolonmala@pt.gov,914345431219,Backend Developer,Fulltime,3-5 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4284557,Glints,checked,"['JavaScript', 'Figma', 'React', 'CSS', 'Kubernetes', 'HTML']"
"Jan 26, 2025 @ 09:04 PM",Hasim Dongoran,Single,Female,Hindu,01/15/2000,"Gg. Cihampelas No. 1, Palu, PB 59718",SMA/SMK,Manajemen Informatika,Universitas Indonesia,wsuryono@ud.edu,350664869757,DevOps Engineer,Unemployed,More than 5 years,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8478788,Indeed,checked,"['Networking', 'Python', 'AWS', 'JavaScript', 'Linux', 'React']"
"Apr 23, 2025 @ 02:41 PM",Jumari Yuliarti,Married,Female,Moslem,12/11/1990,"Jalan Rungkut Industri No. 6, Subulussalam, PB 08322",S2,Sistem Komputer,Institut Teknologi Bandung,najwa71@hotmail.com,267374438121,Frontend Developer,Intern,1-3 years,05/18/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8333444,Telegram Group,checked,"['Kubernetes', 'Linux', 'Docker', 'React']"
"May 02, 2025 @ 02:09 AM","Novi Namaga, S.Ked",Married,Male,Catholic,08/14/1996,"Gang Soekarno Hatta No. 77, Pematangsiantar, KI 34773",D3,Manajemen Informatika,Universitas Gunadarma,iputra@pt.com,107747215826,Data Analyst,Unemployed,3-5 years,05/26/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.cv.gov/,5536523,LinkedIn,checked,"['Node.js', 'Azure', 'SQL', 'Docker']"
"May 15, 2025 @ 01:02 PM",Rahmat Prasasta,Married,Male,Hindu,11/25/1995,"Jl. Astana Anyar No. 45, Padangpanjang, PB 79007",D3,Sistem Komputer,Universitas Gunadarma,qhastuti@gmail.com,357318665497,Frontend Developer,Unemployed,1-3 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5587790,Website,checked,"['SQL', 'Figma', 'Linux']"
"Feb 09, 2025 @ 08:40 PM",Praba Farida,Married,Male,Hindu,08/23/2001,"Jalan R.E Martadinata No. 659, Magelang, Jawa Timur 12501",SMA/SMK,Sistem Informasi,Universitas Gadjah Mada,whardiansyah@yahoo.com,019057330428,Frontend Developer,Intern,3-5 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9126834,Glints,checked,"['Networking', 'Node.js', 'Docker', 'Python']"
"Jan 26, 2025 @ 12:47 AM","Drs. Emas Hastuti, S.T.",Single,Male,Hindu,07/11/1998,"Gang PHH. Mustofa No. 109, Bogor, PB 82322",S1/D4,Manajemen Informatika,Universitas Gadjah Mada,amarpaung@perum.desa.id,757722267011,Data Analyst,Intern,More than 5 years,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7616306,Website,checked,"['Azure', 'Networking', 'Figma', 'Python', 'GCP']"
"Mar 10, 2025 @ 07:55 AM","Nilam Usamah, S.Farm",Single,Male,Moslem,02/19/1991,"Jalan Kebonjati No. 27, Pontianak, BA 45558",D3,Sistem Informasi,Universitas Gunadarma,bambangsiregar@pt.my.id,935454826390,UI/UX Designer,Freelancer,3-5 years,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9693614,Glints,checked,"['Node.js', 'Kubernetes', 'React']"
"Jan 28, 2025 @ 07:22 AM","Cawuk Adriansyah, S.E.",Married,Female,Christian,07/10/1996,"Gang Cikutra Timur No. 8, Pekalongan, JB 55906",S1/D4,Manajemen Informatika,Universitas Indonesia,ypurnawati@pt.co.id,029973658088,Backend Developer,Intern,1-3 years,05/23/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9421284,Glints,checked,"['Docker', 'Node.js', 'Azure', 'AWS', 'Linux', 'Figma']"
"Jan 10, 2025 @ 01:51 PM","Zahra Mahendra, S.Pt",Single,Male,Moslem,08/27/1996,"Jalan Raya Setiabudhi No. 74, Tangerang, Bali 69568",D3,Sistem Informasi,Universitas Bina Nusantara,odongoran@pd.desa.id,598691608581,Backend Developer,Intern,More than 5 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7255991,Glints,checked,"['Figma', 'Python', 'Node.js', 'Linux', 'Azure']"
"Mar 20, 2025 @ 12:25 PM",Koko Sihotang,Married,Male,Catholic,03/20/1997,"Gg. PHH. Mustofa No. 81, Tanjungpinang, Kepulauan Riau 79855",D3,Sistem Komputer,Universitas Indonesia,qmulyani@perum.gov,727337239604,Frontend Developer,Fulltime,Fresh graduate,06/01/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6081293,Telegram Group,checked,"['JavaScript', 'CSS', 'HTML', 'AWS', 'Networking', 'GCP']"
"Mar 13, 2025 @ 08:05 PM","Iriana Nasyiah, M.M.",Single,Female,Catholic,04/16/1995,"Jl. Ir. H. Djuanda No. 4, Manado, Kalimantan Selatan 01512",S2,Manajemen Informatika,Universitas Terbuka,adityalatupono@hotmail.com,704825862403,UI/UX Designer,Freelancer,3-5 years,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9963842,Website,checked,"['GCP', 'AWS', 'Docker', 'React', 'CSS']"
"Jan 03, 2025 @ 10:06 PM","Kezia Adriansyah, S.I.Kom",Single,Female,Christian,01/16/1994,"Gang Rungkut Industri No. 2, Manado, BB 70714",D3,Informatics,Universitas Gunadarma,gatra06@yahoo.com,697132280332,DevOps Engineer,Freelancer,Fresh graduate,06/05/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6036499,Instagram,checked,"['GCP', 'AWS', 'JavaScript', 'Docker', 'Node.js', 'Azure']"
"May 29, 2025 @ 08:50 AM",Kamaria Wijaya,Single,Male,Catholic,11/24/1997,"Jalan Dr. Djunjunan No. 089, Singkawang, Jawa Tengah 02632",SMA/SMK,Sistem Informasi,Universitas Gunadarma,suryonoaisyah@perum.co.id,931037033923,DevOps Engineer,Freelancer,3-5 years,06/01/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6334993,Telegram Group,checked,"['JavaScript', 'GCP', 'Docker']"
"Jan 10, 2025 @ 03:10 PM","Ir. Tugiman Mustofa, S.IP",Married,Female,Hindu,09/18/2003,"Jl. Indragiri No. 14, Salatiga, Bengkulu 86903",S2,Informatics,Universitas Indonesia,ebudiyanto@perum.sch.id,387221712937,Frontend Developer,Intern,1-3 years,06/10/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4884350,LinkedIn,checked,"['JavaScript', 'React', 'Kubernetes', 'Docker']"
"Mar 18, 2025 @ 09:22 AM",Queen Puspita,Single,Female,Moslem,08/11/1992,"Gang Gardujati No. 142, Ambon, DI Yogyakarta 36872",S1/D4,Informatics,Institut Teknologi Bandung,harjayamaryadi@gmail.com,470991067364,UI/UX Designer,Freelancer,Fresh graduate,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7812269,Telegram Group,checked,"['CSS', 'Figma', 'SQL', 'Docker', 'JavaScript', 'Kubernetes']"
"Feb 01, 2025 @ 07:04 PM","Ibun Susanti, S.Sos",Married,Male,Christian,07/17/1994,"Jl. H.J Maemunah No. 38, Palu, Kepulauan Bangka Belitung 66590",D3,Sistem Informasi,Universitas Bina Nusantara,zsiregar@yahoo.com,951572916809,Backend Developer,Freelancer,3-5 years,05/25/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7870785,Telegram Group,checked,"['Figma', 'Linux', 'AWS']"
"Apr 09, 2025 @ 11:53 AM","Himawan Rajasa, S.I.Kom",Married,Female,Catholic,09/18/2000,"Gang Veteran No. 563, Serang, DKI Jakarta 06731",D3,Teknik Informatika,Universitas Bina Nusantara,mnashiruddin@yahoo.com,037222471839,Frontend Developer,Unemployed,Fresh graduate,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6958131,Indeed,checked,"['SQL', 'HTML', 'Azure', 'JavaScript', 'React']"
"Mar 16, 2025 @ 03:32 AM",Among Uwais,Single,Male,Christian,09/16/1990,"Jl. KH Amin Jasuta No. 3, Madiun, NB 10694",S2,Teknik Informatika,Universitas Bina Nusantara,rahmi85@hotmail.com,477238013645,DevOps Engineer,Freelancer,1-3 years,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5157305,Indeed,checked,"['Linux', 'Azure', 'SQL']"
"Apr 03, 2025 @ 11:08 PM",Tirta Aryani,Single,Female,Christian,08/06/2001,"Gg. Indragiri No. 2, Magelang, JK 45952",S2,Teknik Informatika,Universitas Terbuka,firmansyahhardana@hotmail.com,076230604748,Data Analyst,Intern,1-3 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5862525,Indeed,checked,"['Python', 'Linux', 'SQL', 'HTML', 'Kubernetes', 'JavaScript']"
"Feb 19, 2025 @ 12:30 PM",Sabrina Kusumo,Single,Female,Buddhist,09/04/1991,"Gg. Medokan Ayu No. 50, Salatiga, Gorontalo 22129",D3,Teknik Komputer,Universitas Bina Nusantara,ozy30@yahoo.com,533553599829,Data Analyst,Freelancer,More than 5 years,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5792982,Instagram,checked,"['CSS', 'Linux', 'HTML']"
"Apr 20, 2025 @ 11:12 AM",Viktor Sihombing,Single,Female,Moslem,02/28/2002,"Jalan Sukajadi No. 57, Tidore Kepulauan, Sumatera Utara 15245",SMA/SMK,Sistem Komputer,Universitas Gunadarma,aris46@hotmail.com,503179340804,Frontend Developer,Freelancer,1-3 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://ud.mil/,7105619,Website,checked,"['Linux', 'AWS', 'Python', 'Node.js', 'SQL']"
